@relation 212700L1_2final

@attribute 'status pozyczki' {splacona,splacona_cz,windykacja,odmowa,windykacja_sp}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,16,726,1,300,59,M,229,48,2
splacona_cz,13,1530,1,500,64,M,31,48,5
windykacja,12,1000,1,300,52,M,5,5,2114
splacona,11,1552.16,1,449.61,54,M,94,48,236
splacona_cz,11,2709.34,1,369.96,35,K,177,48,1
splacona_cz,12,2673.17,1,600,51,M,108,48,0
windykacja_sp,13,1169,0,300,66,M,75,48,398
splacona_cz,13,1561.87,0,400,57,M,193,48,1
splacona_cz,11,2470,1,426.61,49,K,350,48,0
odmowa,11,963.57,0,200,47,K,211,48,0
splacona_cz,11,1344.9,0,300,45,K,42,48,5
splacona_cz,13,930,1,200,72,K,235,48,0
splacona,13,1125,1,200,65,K,121,48,0
splacona_cz,11,980.11,1,400,34,K,41,48,0
splacona_cz,12,1000,1,300,60,M,8,10,8
splacona,13,1611,1,300,65,M,137,48,0
splacona_cz,13,1200,1,500,70,K,115,48,0
odmowa,12,1215.64,0,800,57,K,7,48,0
splacona_cz,13,1050,1,600,61,K,135,48,1
splacona,13,1199.37,0,300,61,K,11,48,452
splacona_cz,13,1400,0,400,59,K,50,48,0
splacona_cz,12,1300,1,600,29,M,23,41,7
splacona_cz,11,1721.7,1,335.97,54,K,116,48,1
splacona_cz,17,798.8,1,300,54,M,145,48,7
splacona_cz,11,1500,0,200,57,M,391,48,1
splacona_cz,12,980,1,200,31,K,6,6,3
splacona,13,1000,0,200,75,K,207,48,7
splacona_cz,13,919,1,430,66,K,137,48,14
splacona_cz,12,1032,1,300,46,K,34,40,5
odmowa,12,2000,0,700,35,M,6,12,0
splacona_cz,13,856,0,200,64,K,53,48,0
splacona_cz,11,2700,1,1000,30,M,60,48,0
splacona_cz,16,1770,1,500,58,M,85,48,0
windykacja_sp,16,1788,1,300,54,K,59,48,462
splacona_cz,12,599.03,0,200,37,K,15,18,6
splacona_cz,12,1000,1,231.22,52,M,8,39,7
splacona_cz,13,1085,1,400,67,K,162,48,0
splacona_cz,13,1900,1,500,56,M,146,48,0
splacona_cz,12,1963.88,0,400,44,M,2,5,0
splacona,13,1772.53,0,400,71,M,276,48,0
splacona_cz,16,1100,1,600,69,M,133,48,0
splacona_cz,16,1473.04,0,400,65,M,161,48,4
splacona_cz,13,1026,1,300,60,K,51,48,0
splacona,13,917,0,300,63,K,72,48,10
splacona_cz,13,1160,0,500,61,K,74,48,0
splacona_cz,98,3178,1,500,43,M,197,48,7
splacona_cz,11,932.34,1,200,51,K,391,48,0
splacona_cz,13,1420,0,200,70,M,49,48,0
odmowa,17,734.94,0,200,51,K,18,24,0
splacona_cz,11,1443,1,600,43,K,29,48,0
splacona_cz,13,2100,1,1000,73,K,51,48,0
splacona_cz,13,936,1,300,60,K,27,48,0
odmowa,13,757.1,0,200,67,K,194,48,0
splacona,13,1083.23,1,200,58,K,93,48,0
odmowa,11,970,0,300,54,M,194,48,0
splacona_cz,12,1300,0,300,26,K,4,12,1
splacona_cz,12,1500,0,300,22,K,0,2,1
splacona_cz,16,1362,1,400,53,K,25,48,0
splacona,16,1138.01,0,300,73,K,3,48,16
splacona_cz,13,2113.24,0,400,64,K,57,48,0
splacona_cz,11,1400,1,300,52,K,157,48,1
splacona_cz,13,3040,1,700,65,M,197,48,0
splacona,13,1921,1,200,71,M,85,48,0
splacona_cz,12,984.34,0,200,53,K,14,20,0
splacona_cz,13,580,1,800,56,K,115,48,3
splacona_cz,11,1000,1,300,30,M,53,48,0
splacona_cz,13,1820,1,1000,61,K,65,48,0
splacona_cz,11,901,0,300,28,K,36,48,0
splacona_cz,13,2000,1,250,68,M,41,48,0
splacona_cz,11,1077,1,200,55,K,179,48,0
splacona,13,1162.41,1,250,68,M,100,48,0
odmowa,11,1870,0,200,49,K,260,48,0
windykacja,11,2256,0,800,32,M,70,48,2109
splacona_cz,11,992.84,1,300,49,K,117,48,1
splacona_cz,17,728,1,200,27,M,96,48,0
splacona_cz,11,2947,1,476.61,59,M,49,48,4
splacona_cz,98,911,1,250,46,K,94,48,1
splacona_cz,13,1134.96,1,200,68,K,157,48,5
splacona_cz,12,1382,0,200,37,K,17,23,0
